#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
26950811|2021-06-11T12:43:20.390000|44.7547|9.4093|15.6|BULLETIN-INGV||||ML|2.3|--|1 km NW Coli (PC)|earthquake
27007131|2021-06-14T02:12:40.680000|44.8308|12.2642|22.6|BULLETIN-INGV||||ML|2.1|--|4 km SW Goro (FE)|earthquake
27009941|2021-06-14T06:31:19.410000|45.5533|12.7648|30.1|BULLETIN-INGV||||ML|3.0|--|7 km E Eraclea (VE)|earthquake
27155781|2021-06-21T00:12:33.740000|45.0773|10.8372|20.1|BULLETIN-INGV||||ML|2.2|--|4 km W Bagnolo San Vito (MN)|earthquake
27300241|2021-06-28T23:13:05.170000|44.8252|9.7522|24.1|BULLETIN-INGV||||ML|2.3|--|2 km E Gropparello (PC)|earthquake
27309851|2021-06-29T18:05:12.440000|44.8082|9.7403|28.7|BULLETIN-INGV||||ML|2.1|--|3 km S Gropparello (PC)|earthquake
27336371|2021-07-02T05:23:32.160000|45.7937|10.9678|11.4|BULLETIN-INGV||||ML|2.0|--|3 km SE Brentonico (TN)|earthquake
27372941|2021-07-04T15:42:54.610000|44.9313|12.7148|30.4|BULLETIN-INGV||||ML|2.1|--|Costa Veneta meridionale (Rovigo)|earthquake
27551561|2021-07-14T10:22:40.150000|44.5432|7.3048|11.1|BULLETIN-INGV||||ML|2.7|--|3 km SW Melle (CN)|earthquake
27595091|2021-07-17T15:38:56.780000|44.6888|10.3272|23.8|BULLETIN-INGV||||ML|2.2|--|5 km NE Lesignano de' Bagni (PR)|earthquake
27630071|2021-07-21T02:17:52.760000|44.7082|10.2777|21.2|BULLETIN-INGV||||ML|2.2|--|3 km E Felino (PR)|earthquake
27630221|2021-07-21T02:25:53.680000|44.7053|10.262|22.5|BULLETIN-INGV||||ML|2.3|--|2 km NE Felino (PR)|earthquake
27660381|2021-07-23T16:34:12.330000|44.7093|7.661|34.5|BULLETIN-INGV||||ML|2.2|--|2 km W Cavallermaggiore (CN)|earthquake
27673791|2021-07-24T18:52:30.970000|44.714|10.1713|31.8|BULLETIN-INGV||||ML|2.2|--|5 km W Sala Baganza (PR)|earthquake
27708731|2021-07-27T20:18:47.070000|44.5535|8.6608|9.6|BULLETIN-INGV||||ML|2.1|--|1 km SW Rossiglione (GE)|earthquake
27714071|2021-07-28T10:14:52.900000|45.2472|7.4282|16.2|BULLETIN-INGV||||ML|2.0|--|3 km S Traves (TO)|earthquake
27737131|2021-07-30T09:39:48.450000|45.2462|7.4057|13.6|BULLETIN-INGV||||ML|2.3|--|2 km E Viù (TO)|earthquake
27778071|2021-08-02T04:43:00.820000|44.8022|9.9705|29.2|BULLETIN-INGV||||ML|2.1|--|2 km SW Salsomaggiore Terme (PR)|earthquake
27804041|2021-08-03T19:05:16.010000|45.9482|12.1873|8.9|BULLETIN-INGV||||ML|2.2|--|3 km NW Refrontolo (TV)|earthquake
27881031|2021-08-08T19:40:40.690000|44.7753|7.5923|30.6|BULLETIN-INGV||||ML|2.3|--|2 km NW Murello (CN)|earthquake
27908301|2021-08-11T03:59:47.470000|44.9362|9.9642|27.5|BULLETIN-INGV||||ML|2.1|--|4 km N Alseno (PC)|earthquake
28095111|2021-08-26T19:16:43.620000|44.5373|8.9978|9.8|BULLETIN-INGV||||ML|2.4|--|Casella (GE)|earthquake
28102591|2021-08-27T13:47:46.450000|44.5393|8.9947|9.6|BULLETIN-INGV||||ML|2.5|--|1 km NW Casella (GE)|earthquake
28116981|2021-08-28T18:30:47.890000|44.5418|8.9795|10.3|BULLETIN-INGV||||ML|2.1|--|2 km W Casella (GE)|earthquake
28118571|2021-08-29T01:05:13.810000|44.5283|8.9885|11.0|BULLETIN-INGV||||ML|2.1|--|1 km SW Casella (GE)|earthquake
28119991|2021-08-29T08:15:10.710000|44.9597|9.3185|24.3|BULLETIN-INGV||||ML|2.7|--|1 km E Golferenzo (PV)|earthquake
28128291|2021-08-30T06:55:20.580000|44.5525|8.9942|9.0|BULLETIN-INGV||||ML|2.0|--|1 km SE Savignone (GE)|earthquake
28194591|2021-09-05T06:49:47.000000|44.8402|11.1633|9.6|SURVEY-INGV||||ML|2.0|--|2 km E San Felice sul Panaro (MO)|earthquake
28285301|2021-09-13T20:48:09.380000|44.7378|9.9642|62.4|SURVEY-INGV||||ML|2.2|--|3 km E Pellegrino Parmense (PR)|earthquake
28286721|2021-09-14T02:02:23.950000|44.5412|10.5257|23.4|SURVEY-INGV||||ML|2.2|--|4 km NE Casina (RE)|earthquake
28286861|2021-09-14T02:13:13.860000|44.5608|10.4698|5.7|SURVEY-INGV||||ML|2.4|--|6 km NW Casina (RE)|earthquake
28286951|2021-09-14T02:16:35.170000|44.5628|10.4723|8.6|SURVEY-INGV||||ML|2.6|--|6 km SE Canossa (RE)|earthquake
28294441|2021-09-14T17:45:45.080000|44.7943|9.9347|30.7|SURVEY-INGV||||ML|2.9|--|4 km SW Salsomaggiore Terme (PR)|earthquake
28294571|2021-09-14T17:46:55.060000|44.7787|9.9498|29.7|SURVEY-INGV||||ML|2.3|--|5 km SW Salsomaggiore Terme (PR)|earthquake
28296291|2021-09-15T00:34:02.660000|44.5812|10.3412|26.4|SURVEY-INGV||||ML|2.1|--|2 km E Neviano degli Arduini (PR)|earthquake
28304921|2021-09-15T17:56:28.350000|44.704|10.3155|22.2|SURVEY-INGV||||ML|2.1|--|6 km E Felino (PR)|earthquake
28305351|2021-09-15T19:33:40.570000|44.6277|9.9263|27.1|SURVEY-INGV||||ML|3.3|--|4 km W Solignano (PR)|earthquake
28324861|2021-09-17T12:13:59.430000|44.6568|10.3642|24.2|SURVEY-INGV||||ML|2.6|--|2 km NW Traversetolo (PR)|earthquake
28324981|2021-09-17T12:14:48.030000|44.6823|10.2848|31.0|SURVEY-INGV||||ML|2.6|--|4 km E Felino (PR)|earthquake
28325261|2021-09-17T12:16:21.070000|44.6748|10.3138|23.1|SURVEY-INGV||||ML|2.2|--|3 km N Lesignano de' Bagni (PR)|earthquake
28361011|2021-09-20T14:47:55.750000|44.5022|10.0805|18.6|SURVEY-INGV||||ML|2.0|--|3 km N Corniglio (PR)|earthquake
28375251|2021-09-22T05:32:20.310000|44.8558|11.224|4.6|SURVEY-INGV||||ML|2.3|--|6 km W Finale Emilia (MO)|earthquake
28395461|2021-09-23T20:41:40.850000|45.7627|11.0273|11.0|SURVEY-INGV||||ML|2.3|--|2 km E Ala (TN)|earthquake
28416321|2021-09-25T21:59:05.740000|44.8288|9.9287|30.4|SURVEY-INGV||||ML|2.2|--|4 km W Salsomaggiore Terme (PR)|earthquake
28436891|2021-09-28T00:45:54.970000|45.9468|12.022|11.1|BULLETIN-INGV||||Mw|3.4|--|5 km NE Valdobbiadene (TV)|earthquake
28436921|2021-09-28T00:46:44.780000|45.9395|12.0155|9.8|BULLETIN-INGV||||ML|3.6|--|4 km NE Valdobbiadene (TV)|earthquake
28437041|2021-09-28T00:49:28.700000|45.9672|12.0047|5.1|SURVEY-INGV||||ML|2.0|--|7 km NE Segusino (TV)|earthquake
28437251|2021-09-28T01:32:21.220000|45.9398|12.0158|9.6|SURVEY-INGV||||ML|2.7|--|4 km NE Valdobbiadene (TV)|earthquake
28437311|2021-09-28T01:42:22.610000|45.9455|12.0073|9.9|SURVEY-INGV||||ML|2.0|--|5 km N Valdobbiadene (TV)|earthquake
28438081|2021-09-28T04:26:42.940000|45.9332|12.0138|10.2|SURVEY-INGV||||ML|2.5|--|4 km NE Valdobbiadene (TV)|earthquake
28447561|2021-09-28T16:58:30.610000|45.1807|11.8948|6.0|SURVEY-INGV||||ML|2.9|--|1 km SE Bagnoli di Sopra (PD)|earthquake
