#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
26770041|2021-05-25T02:00:02.130000|44.1348|10.9987|9.5|BULLETIN-INGV||||ML|2.0|--|3 km SE Alto Reno Terme (BO)|earthquake
26776371|2021-05-25T20:04:17.430000|43.673|12.0598|9.1|BULLETIN-INGV||||ML|2.0|--|1 km E Pieve Santo Stefano (AR)|earthquake
26776631|2021-05-25T20:50:26.450000|44.1143|11.5893|5.2|BULLETIN-INGV||||ML|2.1|--|3 km E Palazzuolo sul Senio (FI)|earthquake
26777741|2021-05-26T00:29:15.790000|43.5835|13.415|8.6|BULLETIN-INGV||||ML|2.1|--|5 km SE Falconara Marittima (AN)|earthquake
26777921|2021-05-26T01:23:58.840000|44.3198|9.9123|7.9|BULLETIN-INGV||||ML|2.0|--|Mulazzo (MS)|earthquake
26785871|2021-05-27T01:24:33.150000|43.6745|12.0325|7.7|BULLETIN-INGV||||ML|2.7|--|1 km NW Pieve Santo Stefano (AR)|earthquake
26803331|2021-05-29T04:41:56.250000|43.6487|13.4428|35.4|BULLETIN-INGV||||ML|3.3|--|Costa Marchigiana Anconetana (Ancona)|earthquake
26811271|2021-05-30T05:23:13.990000|44.2375|10.2488|11.8|BULLETIN-INGV||||ML|2.1|--|4 km W Sillano Giuncugnano (LU)|earthquake
26878401|2021-06-07T07:51:14.170000|43.7042|11.9748|9.9|BULLETIN-INGV||||ML|3.0|--|3 km E Chiusi della Verna (AR)|earthquake
26883211|2021-06-07T14:58:22.230000|43.576|11.1242|7.7|BULLETIN-INGV||||ML|2.8|--|4 km W Tavarnelle Val di Pesa (FI)|earthquake
26894911|2021-06-08T21:00:49.510000|44.0153|7.2523|15.9|BULLETIN-INGV||||ML|2.7|--|Confine Italia-Francia (FRANCIA)|earthquake
26978051|2021-06-12T15:41:15.280000|44.4577|7.2592|12.4|BULLETIN-INGV||||ML|2.0|--|3 km SW Cartignano (CN)|earthquake
26985651|2021-06-12T23:51:51.390000|43.7055|11.943|8.2|BULLETIN-INGV||||ML|2.2|--|1 km NE Chiusi della Verna (AR)|earthquake
