#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
33432511|2022-11-20T06:02:18.060000|43.9483|13.2653|17.1|SURVEY-INGV||||ML|1.8|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33432601|2022-11-20T06:10:00.000000|43.9773|13.2997|7.8|SURVEY-INGV||||ML|2.3|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33432961|2022-11-20T06:45:16.520000|43.9698|13.2898|7.6|SURVEY-INGV||||ML|2.3|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33433031|2022-11-20T06:46:25.130000|43.9043|13.2202|5.0|SURVEY-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33433361|2022-11-20T07:40:08.130000|43.9042|13.2302|19.5|SURVEY-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33434091|2022-11-20T09:03:12.430000|43.9437|13.2418|10.2|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33434491|2022-11-20T09:41:43.260000|43.9722|13.2688|10.7|SURVEY-INGV||||ML|2.8|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33434911|2022-11-20T09:59:46.700000|43.9083|13.3353|9.2|SURVEY-INGV||||ML|3.3|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33435221|2022-11-20T10:13:18.550000|43.9232|13.2467|8.1|SURVEY-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33435461|2022-11-20T10:38:54.300000|43.9625|13.2825|7.9|SURVEY-INGV||||ML|3.3|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33435621|2022-11-20T10:47:43.210000|43.9673|13.4|5.2|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Anconetana (Ancona)|earthquake
